Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class & No,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty
3AP0313,426340,428455,1,3/17/2017,0815,A643,Dry,Daylight: Street lights present,Other,Car,Pedestrian,Serious,Female,61
3BE0850,430828,433222,2,1/14/2017,1330,A61,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,36
4110858,428940,429856,2,1/1/2017,0805,A653,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,32
4110858,428940,429856,2,1/1/2017,0805,A653,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,30
4111495,429899,434277,2,1/1/2017,1705,U,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Vehicle or pillion passenger,Slight,Female,26
4111706,435946,436807,2,1/1/2017,1200,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,34
4120471,443658,436768,3,1/2/2017,1230,M1,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,39
4120471,443658,436768,3,1/2/2017,1230,M1,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,69
4121054,442103,434572,2,1/2/2017,1807,M1,Dry,Darkness: No street lighting,Fine without high winds,Car,Driver or rider,Slight,Male,18
4121054,442103,434572,2,1/2/2017,1807,M1,Dry,Darkness: No street lighting,Fine without high winds,Car,Vehicle or pillion passenger,Serious,Female,17
4121054,442103,434572,2,1/2/2017,1807,M1,Dry,Darkness: No street lighting,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,19
4121066,430501,437057,2,1/2/2017,1800,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Motorcycle 12Motorcycle over 500cccc to Motorcycle over 500cc00cc,Driver or rider,Slight,Male,36
4121358,431382,438004,1,1/2/2017,2120,U,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Pedestrian,Serious,Male,50
4130470,420176,445342,2,1/3/2017,1115,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,67
4140404,421525,428537,2,1/4/2017,1048,A650,Wet/Damp,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Serious,Male,82
4140453,427512,432598,2,1/4/2017,1130,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,72
4140453,427512,432598,2,1/4/2017,1130,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,71
4140460,440390,433058,1,1/4/2017,1132,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Slight,Female,86
4141066,428934,433453,2,1/4/2017,1700,A58,Dry,Darkness: Street lights present and lit,Fine without high winds,Motorcycle Motorcycle over 500cc0cc and under,Driver or rider,Serious,Male,42
4141070,431409,429362,1,1/4/2017,1710,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Motorcycle Motorcycle over 500cc0cc and under,Driver or rider,Slight,Male,48
4141114,429926,437020,2,1/4/2017,1645,A61,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,23
4150393,429962,436643,1,1/5/2017,1005,A61,Dry,Daylight: Street lights present,Fine without high winds,Taxi/Private hire car,Pedestrian,Slight,Male,30
4150550,426818,435487,2,1/5/2017,1200,U,Frost/Ice,Daylight: Street lights present,Other,Car,Driver or rider,Slight,Female,26
4150991,432483,433871,1,1/5/2017,1550,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,20
4161249,428268,434138,2,1/6/2017,1857,A65,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,25
4161393,426232,427445,2,1/6/2017,2010,B6123,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Female,42
4161393,426232,427445,2,1/6/2017,2010,B6123,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,10
4161393,426232,427445,2,1/6/2017,2010,B6123,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,10
4161393,426232,427445,2,1/6/2017,2010,B6123,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,11
